
libro,autor,precio,editorial,category,opinions
Coronavirus: Diez especulaciones sobre el futuro,$ 49.000,Planeta,Planeta,-1,-1
Coronavirus: Diez especulaciones sobre el futuro,$ 49.000,Planeta,Planeta,-1,-1
Bebés que comen,$ 49.000,Critica,Critica,-1,2 opiniones
Bebés que comen,$ 49.000,Critica,Critica,-1,2 opiniones
LA CIUDAD DE VAPOR,$ 49.000,Planeta,Planeta,Novela contemporánea,17 opiniones
LA CIUDAD DE VAPOR,$ 49.000,Planeta,Planeta,Novela contemporánea,17 opiniones
Nuez de Brasil,$ 49.000,Planeta comic,Planeta comic,Undefined,-1
Nuez de Brasil,$ 49.000,Planeta comic,Planeta comic,Undefined,-1
El Cuento de la Criada (Novela Grafica),$ 69.000,Salamandra graphic,Salamandra graphic,Ficción,4 opiniones
El Cuento de la Criada (Novela Grafica),$ 69.000,Salamandra graphic,Salamandra graphic,Ficción,4 opiniones
LOS PEORES PROFES DEL MUNDO,$ 69.000,Montena,Montena,Libros para niños,-1
LOS PEORES PROFES DEL MUNDO,$ 69.000,Montena,Montena,Libros para niños,-1
Arsene Lupin. Caballero y Ladrón.,$ 25.000,Blanco & negro,Blanco & negro,-1,5 opiniones
Arsene Lupin. Caballero y Ladrón.,$ 25.000,Blanco & negro,Blanco & negro,-1,5 opiniones
El Milagro Metabolico,$ 49.000,Planeta,Planeta,Nutrición,393 opiniones
El Milagro Metabolico,$ 49.000,Planeta,Planeta,Nutrición,393 opiniones
Conversaciones con Dios 1,$ 36.000,Penguin random house,Penguin random house,Espiritualidad,48 opiniones
Conversaciones con Dios 1,$ 36.000,Penguin random house,Penguin random house,Espiritualidad,48 opiniones
Inteligencia Emocional, la,$ 39.000,B de bolsillo,B de bolsillo,Libros de superación personal,96 opiniones
Inteligencia Emocional, la,$ 39.000,B de bolsillo,B de bolsillo,Libros de superación personal,96 opiniones
El Psicoanalista,$ 41.000,Penguin random house,Penguin random house,Libros de literatura,74 opiniones
El Psicoanalista,$ 41.000,Penguin random house,Penguin random house,Libros de literatura,74 opiniones
Harry Potter y la Piedra Filosofal (Harry Potter 1) ,$ 39.000,Penguin random house,Penguin random house,Libros de literatura,59 opiniones
Harry Potter y la Piedra Filosofal (Harry Potter 1) ,$ 39.000,Penguin random house,Penguin random house,Libros de literatura,59 opiniones
Delirio,$ 39.000,Debolsillo,Debolsillo,Latinoamericana,19 opiniones
Delirio,$ 39.000,Debolsillo,Debolsillo,Latinoamericana,19 opiniones
