libro,autor,precio,editorial,category,opinions
Satanas - nva Presentacion,Mario mendoza,$ 35.000,Planeta,Latinoamericana,93 opiniones
Satanas - nva Presentacion,Mario mendoza,$ 35.000,Planeta,Latinoamericana,93 opiniones
Monje que Vendio su Ferrari,Robin s. sharma,$ 36.000,Debolsillo,Espiritualidad,17 opiniones
Monje que Vendio su Ferrari,Robin s. sharma,$ 36.000,Debolsillo,Espiritualidad,17 opiniones
Mujeres que Corren con Lobos,Clarissa pinkola estés,$ 44.000,B de bolsillo,Autoayuda y superación,55 opiniones
Mujeres que Corren con Lobos,Clarissa pinkola estés,$ 44.000,B de bolsillo,Autoayuda y superación,55 opiniones
El milagro antiestrés,Dr. carlos jaramillo,$ 49.000,Planeta,Salud,162 opiniones
El milagro antiestrés,Dr. carlos jaramillo,$ 49.000,Planeta,Salud,162 opiniones
1984,George orwell,$ 41.000,Debolsillo,-1,42 opiniones
1984,George orwell,$ 41.000,Debolsillo,-1,42 opiniones
La Casa de los Espiritus,Isabel allende,$ 41.000,Penguin random house,Latinoamericana,24 opiniones
La Casa de los Espiritus,Isabel allende,$ 41.000,Penguin random house,Latinoamericana,24 opiniones
La Sombra de Orion,Pablo montoya,$ 55.000,Penguin random house,Libros de literatura,-1
La Sombra de Orion,Pablo montoya,$ 55.000,Penguin random house,Libros de literatura,-1
¿Por qué Todos Saben Inglés Menos yo?,Alejo lopera,$ 31.200,Grupo sin fronteras sas,Idiomas,42 opiniones
¿Por qué Todos Saben Inglés Menos yo?,Alejo lopera,$ 31.200,Grupo sin fronteras sas,Idiomas,42 opiniones
Cien Años de Soledad,Gabriel garcía márquez,$ 36.000,Penguin random house,Literatura,24 opiniones
Cien Años de Soledad,Gabriel garcía márquez,$ 36.000,Penguin random house,Literatura,24 opiniones
Padre Rico  Padre Pobre. Qué le enseñan los ricos a sus hijos acerca del dinero  ¡que los pobres y la clase media no!,Robert t. kiyosaki,$ 38.000,Debolsillo,Libros de superación personal,44 opiniones
Padre Rico  Padre Pobre. Qué le enseñan los ricos a sus hijos acerca del dinero  ¡que los pobres y la clase media no!,Robert t. kiyosaki,$ 38.000,Debolsillo,Libros de superación personal,44 opiniones
La Domadora de Mamuts,Maria bernarda vergara,$ 35.950,Intermedio editores,Nutrición,80 opiniones
La Domadora de Mamuts,Maria bernarda vergara,$ 35.950,Intermedio editores,Nutrición,80 opiniones
Destroza Este Diario. Ahora a Todo Color,Keri smith,$ 42.000,Grupo planeta,Arte,21 opiniones
Destroza Este Diario. Ahora a Todo Color,Keri smith,$ 42.000,Grupo planeta,Arte,21 opiniones
El Hombre en Busca de Sentido,Viktor frankl,$ 51.000,Herder,Historia,133 opiniones
El Hombre en Busca de Sentido,Viktor frankl,$ 51.000,Herder,Historia,133 opiniones
Cronica de una Muerte Anunciada,Garcia marquez gabriel,$ 26.000,Penguin random house s.a.s,Literatura,28 opiniones
Cronica de una Muerte Anunciada,Garcia marquez gabriel,$ 26.000,Penguin random house s.a.s,Literatura,28 opiniones
Harry Potter y el Misterio del Príncipe (Harry Potter 6),J. k. rowling,$ 45.000,Penguin random house,Libros de literatura,17 opiniones
Harry Potter y el Misterio del Príncipe (Harry Potter 6),J. k. rowling,$ 45.000,Penguin random house,Libros de literatura,17 opiniones
Atlas Ilustrado de la Historia del Mundo en Mapas,John haywood,$ 110.900,Susaeta,Historia,33 opiniones
Atlas Ilustrado de la Historia del Mundo en Mapas,John haywood,$ 110.900,Susaeta,Historia,33 opiniones
Juegos de Lógica Para Refrescar tus Neuronas,Varios autores,$ 75.350,Alma,Autoayuda,1 opiniones
Juegos de Lógica Para Refrescar tus Neuronas,Varios autores,$ 75.350,Alma,Autoayuda,1 opiniones
El Negociador,Arturo elias ayub,$ 76.500,Grijalbo,Undefined,-1
El Negociador,Arturo elias ayub,$ 76.500,Grijalbo,Undefined,-1
El Infinito En Un Junco,Irene vallejo,$ 150.350,Siruela,Libros,29 opiniones
El Infinito En Un Junco,Irene vallejo,$ 150.350,Siruela,Libros,29 opiniones
La Bruja Verde. Guía Completa de Magia Natural con Hierbas  Flores  Aceites Esenciales y más,Arin murphy-hiscock,$ 85.150,Arkano books,Esoterismo,98 opiniones
La Bruja Verde. Guía Completa de Magia Natural con Hierbas  Flores  Aceites Esenciales y más,Arin murphy-hiscock,$ 85.150,Arkano books,Esoterismo,98 opiniones
Infinito en un Junco la Invencion de los Libros en el Mundo Antiguo,Vallejo  irene,$ 139.750,Siruela/grupal,Historia,7 opiniones
Infinito en un Junco la Invencion de los Libros en el Mundo Antiguo,Vallejo  irene,$ 139.750,Siruela/grupal,Historia,7 opiniones
Kriya Yoga Sutras de Patanjali y los Siddhas,Marshall govindan,$ 137.350,Kriya yoga,Religión,1 opiniones
Kriya Yoga Sutras de Patanjali y los Siddhas,Marshall govindan,$ 137.350,Kriya yoga,Religión,1 opiniones
Te Acuerdas del mar,Godoy barbosa  oscar,$ 79.250,Clarin-alfaguara,Ficción,-1
Te Acuerdas del mar,Godoy barbosa  oscar,$ 79.250,Clarin-alfaguara,Ficción,-1
La Ciencia de las Especias,Varios autores,$ 142.500,Dk,Gastronomía y cocina,-1
La Ciencia de las Especias,Varios autores,$ 142.500,Dk,Gastronomía y cocina,-1
Cuentos Inconclusos,J. r. r. tolkien,$ 104.700,Minotauro,Novela fantastica,3 opiniones
Cuentos Inconclusos,J. r. r. tolkien,$ 104.700,Minotauro,Novela fantastica,3 opiniones
"Estuche ""Los Habitantes del Aire"" (Incluye ""el Principe Cruel"" / ""el rey Malvado"" / ""la Reina de Nada"")",Holly black,$ 277.650,Hidra,Libros juveniles,23 opiniones
"Estuche ""Los Habitantes del Aire"" (Incluye ""el Principe Cruel"" / ""el rey Malvado"" / ""la Reina de Nada"")",Holly black,$ 277.650,Hidra,Libros juveniles,23 opiniones
El Código de las Mentes Extraordinarias: 10 Leyes no Convencionales Para Redefi nir tu Vida y Alcanzar el Éxito (Psicología y Autoayuda),Vishen lakhiani,$ 137.400,Edaf,Psicología,27 opiniones
El Código de las Mentes Extraordinarias: 10 Leyes no Convencionales Para Redefi nir tu Vida y Alcanzar el Éxito (Psicología y Autoayuda),Vishen lakhiani,$ 137.400,Edaf,Psicología,27 opiniones
Mentalidad Mamba,Kobe bryant,$ 83.450,Planeta,-1,18 opiniones
Mentalidad Mamba,Kobe bryant,$ 83.450,Planeta,-1,18 opiniones
Mis Pastelitos: Recetario Dulce y Eshpeshial ( Spanish ),Gris verduzco,$ 86.450,Altea,Undefined,36 opiniones
Mis Pastelitos: Recetario Dulce y Eshpeshial ( Spanish ),Gris verduzco,$ 86.450,Altea,Undefined,36 opiniones
